id	text	label
27	If only it were possible to love without injury – fidelity isn’t enough: I had been faithful to Anne and yet I had injured her. The hurt is in the act of possession: we are too small in mind and body to possess another person without pride or to be possessed without humiliation. In a way I was glad that my wife had struck out at me again – I had forgotten her pain for too long, and this was the only kind of recompense I could give her. Unfortunately the innocent are always involved in any conflict. Always, everywhere, there is some voice crying from a tower.	philosophy
28	For the former, activity, any kind of activity, was an end in itself; for the latter, activity was but a progress toward the true end, which was rest, and peace of mind. Action was to be undertaken only when equilibrium was disturbed.	philosophy
29	What really frightens and dismays us is not external events themselves, but the way in which we think about them. It is not things that disturb us, but our interpretation of their significance.	philosophy
30	The greatest untold story is the evolution of God.	philosophy
31	"Let me ask you a question Alex. What do you think is the greatest evil on this plant today?"" ""Is that including, or not including you?"	sarcasm
32	Who is John Galt?	philosophy
33	The bond between husband and wife is a strong one. Suppose the man had hunted her out and brought her back. The memory of her acts would still be there, and inevitably, sooner or later, it would be cause for rancor. When there are crises, incidents, a woman should try to overlook them, for better or for worse, and make the bond into something durable. The wounds will remain, with the woman and with the man, when there are crises such as I have described. It is very foolish for a woman to let a little dalliance upset her so much that she shows her resentment openly. He has his adventures--but if he has fond memories of their early days together, his and hers, she may be sure that she matters. A commotion means the end of everything. She should be quiet and generous, and when something comes up that quite properly arouses her resentment she should make it known by delicate hints. The man will feel guilty and with tactful guidance he will mend his ways. Too much lenience can make a woman seem charmingly docile and trusting, but it can also make her seem somewhat wanting in substance. We have had instances enough of boats abandoned to the winds and waves. It may be difficult when someone you are especially fond of, someone beautiful and charming, has been guilty of an indiscretion, but magnanimity produces wonders. They may not always work, but generosity and reasonableness and patience do on the whole seem best.	philosophy
34	Oh, adjust yourself. You people have spent ten millennia playing at soldiers while becoming ever more dedicated civilians. We've spent the last thousand years trying hard to stay civilian while refining the legacy of a won galactic war.	sarcasm
35	Anyone that says his mind will be probably regarded a fool, but the true artist is not moved by the comments about the looks of his painting or remarks that are dreadfully sarcastic, but hearken now! That he who says what others want to hear hasn't said anything of his own.	sarcasm
36	"I tried to step back quickly but James grabbed my hand. ""C'mon,"" he said ""this'll be fun."" <em>Geez... What's</em> your <em>definition of fun? Cuz mines not to possibly get killed my first day here. Or maybe that's just a personal goal, but still...</em>"	sarcasm
37	There is no need to search; achievement leads to nowhere. It makes no difference at all, so just be happy now! Love is the only reality of the world, because it is all One, you see. And the only laws are paradox, humor and change. There is no problem, never was, and never will be. Release your struggle, let go of your mind, throw away your concerns, and relax into the world. No need to resist life, just do your best. Open your eyes and see that you are far more than you imagine. You are the world, you are the universe; you are yourself and everyone else, too! It's all the marvelous Play of God. Wake up, regain your humor. Don't worry, just be happy. You are already free!	philosophy
38	So many other planets &amp; stars -- could all those stars set over barren planets, beauty wasted? Or, are sunsets witnessed throughout the universe?	philosophy
39	aquele que quer responder às injúrias com o ódio vive na tristeza ou na mágoa, aquele que quer vencer o ódio com o amor combate alegremente e sem temor. Triunfa tanto sobre um grande número de inimigos quanto sobre um único, prescindindo de todo socorro da fortuna. Aqueles a quem ele consegue vencer ficam alegres por terem sido derrotados; e, derrotados, eles não são menos fortes; ao contrário, são mais fortes.	philosophy
40	...even nursery tales only echo an almost pre-natal leap of interest and amazement. These tales say that apples were golden only to refresh the forgotten moment when we found that they were green. They make rivers run with wine only to make us remember, for one wild moment, that they run with water.	philosophy
41	Do not ruin today with mourning tomorrow.	philosophy
42	"Listen."" Jennifer reverted, ""I didn't mean anything by all of that before. I understand what you were trying to do and ..."" She struggled for the right words. ""Sweetie, like love, people don't live inside of life, life lives inside of you. Open yourself up to it and there's no stopping your heart."	philosophy
43	When you can't get what you want, get what you need	philosophy
44	All depression has its roots in self-pity, and all self-pity is rooted in people taking themselves too seriously.	sarcasm
45	[I]n Africa I was a member of a family—of a sort of family that the people of your culture haven't known for thousands of years. If gorillas were capable of such an expression, they would tell you that their family is like a hand, of which they are the fingers. They are fully aware of being a family but are very little aware of being individuals. Here in the zoo there were other gorillas—but there was no family. Five severed fingers do not make a hand.	philosophy
46	Feathers filled the small room. Our laughter kept the feathers in the air. I thought about birds. Could they fly is there wasn't someone, somewhere, laughing?	philosophy
47	Youth is an intoxication without wine, someone says. Life is an intoxication. The only sober man is the melancholiac, who, disenchanted, looks at life, sees it as it really is, and cuts his throat. If this be so, I want to be very drunk. The great thing is to live, to clutch at our existence and race away with it in some great and enthralling pursuit. Above all, I must beware of all ultimate questions- they are too maddeningly unanswerable- let me eschew philosophy and burn Omar.	philosophy
48	A writer is one who communicates ideas and emotions people want to communicate but aren't quite sure how, or even if, they should communicate them.	philosophy
49	"come humans, fulfill your evolutionary purpose adn build your hound a fire."" Oberon"	sarcasm
50	A slinky is a toy made for stairs, but that’s entirely too tiresome. What about a toy for escalators that doesn’t move and does nothing and that’s the whole point? I think Americans would relate to and embrace that mentality.	philosophy
51	The story of terrorism is written by the state and it is therefore highly instructive… compared with terrorism, everything else must be acceptable, or in any case more rational and democratic.	philosophy
52	It is impossible for Stream to achieve unhappiness. Indeed it is. Unless that is, it exists in consciousness. It is impossible for the unordered to achieve happiness or unhappiness unless it were to Flow a certain way in relation with ordered effects.Unhappiness, happiness is a potential activated by the ordered in Flow.	philosophy
53	We are the sum of all people we have ever met; you change the tribe and the tribe changes you.	philosophy
54	I didn't want to do it,' Kiala said. 'The universe just kind of conspired to force me to make a fool of myself. It does that quite a lot, actually.	philosophy
55	Truth gains more even by the errors of one who, with due study and preparation, thinks for himself, than by the true opinions of those who only hold them because they do not suffer themselves to think…	philosophy
56	There is no such thing as objectivity. We are all just interpreting signals from the universe and trying to make sense of them. Dim, shaky, weak, static-y little signals that only hint at the complexity of a universe we cannot begin to understand.	philosophy
57	Some people are quick with a gun. My weapon of choice is sarcasm, because it's much sharper and leaves behind no visible evidence.	sarcasm
58	He was the hardest person to figure out I had ever met, which was saying something. I knew girls, after all....	sarcasm
59	All the world's a stage.	philosophy
60	Though why should we expect age to mellow us? If it isn't life's business to reward merit, why should it be life's business to give us warm, comfortable feelings towards its end? What possible evolutionary purpose could nostalgia serve?	philosophy
61	An honest religious thinker is like a tightrope walker. He almost looks as though he were walking on nothing but air. His support is the slenderest imaginable. And yet it really is possible to walk on it.	philosophy
62	Without knowledge of what I am and why I am here, it is impossible to live, and since I cannot know that, I cannot live either. In an infinity of time, in an infinity of matter, and an infinity of space a bubble-organism emerges while will exist for a little time and then burst, and that bubble am I.	philosophy
63	"All I'm trying to say is that if you're not willing to observe this, if you're just going to condemn it, you're never going to see it. It's there, whether you like it or not. This is stupid life-force we're dealing with here,"" he said. ""Think how old it is, Jim. Think how huge it is. Understanding it doesn't make any difference."	philosophy
64	The sarcasm made a slight whistling noise as it flew over Loafers' head.	sarcasm
65	It’s not complicated and it doesn’t compare to my problem, now give me a damn cookie I think I earned it,” Jill snapped.  Chris grinned like it was Christmas morning. “Yes, you did.” He brought her a cookie. “Very good, my young one. You’ve made Chris very happy with this little tidbit of information.	sarcasm
66	striid andWthdraw into yourself. Our master-reason asks no more than to act justly, and thereby to achieve calm.	philosophy
67	In practice people who study philosophy too long become very odd birds, not to say thoroughly vicious; while even those who are the best of them are reduced by...[philosophy] to complete uselessness as members of society.	philosophy
68	Everything that can be thought at all can be thought clearly. Everything that can be said can be said clearly.	philosophy
69	<em>Fallen. Who tracks our footsteps, I wonder? We who are the forgotten, the discounted and the ignored. When the path is failure, it is never willingly taken. The fallen. Why does my heart weep for them? Not them but us, for most assuredly I am counted among them. Slaves, serfs, nameless peasants and labourers, the blurred faces in the crowd—just a smear on memory, a scuffing of feet down the side passages of history.  Can one stop, can one turn and force one’s eyes to pierce the gloom? And see the fallen? Can one ever see the fallen? And if so, what emotion is born in that moment?</em>  There were tears on his cheeks, dripping down onto his chafed hands. He knew the answer to that question, knife-sharp and driven deep, and the answer was…recognition.	philosophy
70	The egocentric is always frustrated, simply because the condition of self-perfection is self-surrender. There must be a willingness to die to the lower part of self, before there can be a birth to the nobler.	philosophy
71	Dare to try the impossible.	philosophy
72	Always be friendly, always be kind, Like the most beautiful flower that you can find.	philosophy
73	Men ought either to be well treated or crushed, because they can avenge themselves of lighter injuries, of more serious ones they cannot; therefore the injury that is to be done to a man ought to be of such a kind that one does not stand in fear of revenge.	philosophy
74	We all reach a point that is the limit of our understanding. When we stare over the precipice of uncertainty and into the dark unknown that we cannot explain with hard evidence, that is when we trade understanding for belief. At best, we make an educated guess. At worst, we make blind leaps of faith.	philosophy
75	It seems to me that one ought to rejoice in the fact of death-- ought to decide, indeed, to earn one's death by confronting with passion the conundrum of life. One is responsible to life: It is the small beacon in that terrifying darkness from which we come and to which we shall return. One must negotiate this passage as nobly as possible, for the sake of those who are coming after us.	philosophy
76	Men would no longer be victims of nature or of their own largely irrational societies: reason would triumph; universal harmonious cooperation, true history, would at last begin.  For if this was not so, do the ideas of progress, of history, have any meaning? Is there not a movement, however tortuous, from ignorance to knowledge, from mythical thought and childish fantasies to perception of reality face to face, to knowledge of true goals, true values as well as truths of fact? Can history be a mere purposeless succession of events, caused by a mixture of material factors and the play of random selection, a tale full of sound and fury signifying nothing? This was unthinkable. The day would dawn when men and women would take their lives in their own hands and not be self-seeking beings or the playthings of blind forces that they did not understand. It was, at the very least, not impossible to conceive that such an earthly paradise could be; and if conceivable we could, at any rate, try to march towards it. That has been at the centre of ethical thought from the Greeks to the Christian visionaries of the Middle Ages, from the Renaissance to progressive thought in the last century; and indeed, is believed by many to this day.	philosophy
77	I'm all for all for one, especially when I'm the one. That's my philosophy when the dinner bill arrives at the table.	philosophy
78	On the top of Cadair Idris, I felt how happy a man might be with a little money and a sane intellect, and reflected with astonishment and pity on the madness of the multitude.	philosophy
79	All are one	philosophy
80	Knowledge can be acquired by a suitable and complete study, no matter what the starting point is. Only one must know how to 'learn.' What is nearest to us is man; and you are the nearest of all men to yourself. Begin with the study of yourself; remember the saying 'Know thyself.	philosophy
81	When we move, we are in a way de-structured by our movement <em>toward</em> something: we are both here and at the same time not here because we're already in the process of going elsewhere, if you see what I mean. To stop de-structuring yourself, you have to stop moving altogether. Either you move and you're no longer whole, or you're whole and you can't move.	philosophy
82	One is not born, but rather becomes, a woman.	philosophy
83	Change is not always growth, but growth is often rooted in change. Drizzt Do'Urden	philosophy
84	What are we doing to each other? Because I know that I am doing to him exactly what he is doing to me. We are sometimes so happy, and never in our lives have we known more unhappiness.	philosophy
85	Remember, people who peek through keyholes have to expect an occasional poke in the eye.	sarcasm
86	What is existence for but to be laughed at if men in their twenties have already attained the utmost?	philosophy
87	The philosophic outlook rises above all sectarian controversy. It finds its own position not only by appreciating and synthesizing what is solidly based in the rival sects but also by capping them all with the keystone of nonduality.	philosophy
88	A diary with no drawings of me in it? Where are the torrid fantasies? The romance covers?	sarcasm
89	"Ben, if you get pee in my brand-new car, I am going to cut your balls off."" Still peeing, Ben looks over at me smirking. ""You´re gonna need a hell of a big knife, bro."	philosophy
90	Fair speech may hide a foul heart.	philosophy
91	The only debatable issue, it seems to me, is whether it is more ridiculous to turn to experts in social theory for general well-confirmed propositions, or to the specialists in the great religions and philosophical systems for insights into fundamental human values.	philosophy
92	A novel is never anything but a philosophy expressed in images. And in a good novel the philosophy has disappeared into the images.	philosophy
93	Life's a party. So smile and eat shit and pretend it's fucking caviar.	sarcasm
94	"Prolific [10w]  ""Perhaps I'm prolific because I believe creativity can forestall death."	philosophy
95	Let people be the pursuits of happiness, you be the pursuit of perfection.	philosophy
96	All men by nature desire knowledge.	philosophy
97	"The old man slowly raised himself from the piano stool, fixed those cheerful blue eyes piercingly and at the same time with unimaginable friendliness upon him, and said: ""Making music together is the best way for two people to become friends. There is none easier. That is a fine thing. I hope you and I shall remain friends. Perhaps you too will learn how to make fugues, Joseph."	philosophy
98	The true man wants two things: danger and play. For that reason he wants woman, as the most dangerous plaything.	philosophy
99	A doctrine of <em>expression</em> rather than one of <em>suppression</em> makes a stronger appeal to man.	philosophy
100	War is thus divine in itself, since it is a law of the world. War is divine through its consequences of a supernatural nature which are as much general as particular. War is divine in the mysterious glory that surrounds it and in the no less inexplicable attraction that draws us to it. War is divine by the manner in which it breaks out.	philosophy
101	I cannot encourage any fabrication even for the sake of making people feel good. If I were to fabricate consciously and knowingly, I would not only be ordaining myself their enemy, but also ordaining myself God's enemy.	philosophy
102	You have music in your heart; just listen in the deep silence to reveal it.	philosophy
103	in this case, a mother, noted for her beauty, might be reduced to a purple shadow... (Tansley to Lily on her painting of the house &amp; grounds)	philosophy
104	I’m trained in sarcasm. It’s like karate, only the sting lasts longer.	sarcasm
105	"Is this the baby?"" I said. Ma turned on me again. ""What do you think it is?"" she said. ""A midget that can't talk?"	sarcasm
106	We are the sum total of the decisions we have made.	philosophy
107	I wouldn’t be caught dead sacrificing myself for this country.	sarcasm
108	If you are not going to be a comfort, have the decency to be an empty space.	sarcasm
109	And you don’t even need to say anything. I’m screwed up. I don’t know how any of this works anymore than you do. But I do believe you’re worth every second it would take to figure it out,” Mason said, a smile taking over his features.	philosophy
110	I'm sorry. I use my rapier wit to hide my inner pain.	sarcasm
111	A lot of people have it in for me. It's practically a school sport.	sarcasm
112	Upgrading [10w]  Promise them the world to get the universe in return.	philosophy
113	Of what use is a philosopher who doesn't hurt anybody's feelings?	philosophy
114	Trust yourself. You know more than you think you do.	philosophy
115	YOU are the big drop of dew under the lotus leaf,  I am the smaller one on its upper side,' said the dewdrop to the lake.	philosophy
116	The tragedy is that we cannot believe the dogmas of religion and metaphysics if we have the strict methods of truth in heart and head, but on the other hand, we have become through the development of humanity so tenderly suffering that we need the highest kind of means of salvation and consolation: whence arises the danger that man may bleed to death through the truth that he realises.	philosophy
117	I've interrupted a party. Is it in celebration of the peace or in honor of the next war?	sarcasm
118	There is a common tendency to turn off one's imagination at certain points and refuse to contemplate the possibility of having to do certain things and cope with the attendant moral problems. The things simply get done by the social machine, and one can keep one's clear conscience and one's moral indignation unsullied.	philosophy
119	Jokes of the proper kind, properly told, can do more to enlighten questions of politics, philosophy, and literature than any number of dull arguments.	philosophy
120	Am I right in suggesting that ordinary life is a mean between these extremes, that the noble man devotes his material wealth to lofty ends, the advancement of science, or art, or some such true ideal; and that the base man does the opposite by concentrating all his abilities on the amassing of wealth?'  Exactly; that is the real distinction between the artist and the bourgeois, or, if you prefer it, between the gentleman and the cad. Money, and the things money can buy, have no value, for there is no question of creation, but only of exchange. Houses, lands, gold, jewels, even existing works of art, may be tossed about from one hand to another; they are so, constantly. But neither you nor I can write a sonnet; and what we have, our appreciation of art, we did not buy. We inherited the germ of it, and we developed it by the sweat of our brows. The possession of money helped us, but only by giving us time and opportunity and the means of travel. Anyhow, the principle is clear; one must sacrifice the lower to the higher, and, as the Greeks did with their oxen, one must fatten and bedeck the lower, so that it may be the worthier offering.	philosophy
121	As soon as they were spotted, one of the jerk’s buddies pointed at me and said, “Arrest her! She’s the one who killed Zak!”  <em>Why I outta… Wait Zak? I thought we all agreed he was Captain Asshole? Oh, no… Guess that was just me.</em>	sarcasm
122	... is it truly possible to steal a life, if... the Self is eternal and cannot die? Should this be so, then one who 'murders' does no more than transgress against the will of another, whose choice it is to live. At bottom, a murderer offends not against the body, but against the spirit.	philosophy
123	You are an aperture through which the universe is looking at and exploring itself.	philosophy
124	Far from rejecting outright any hierarchy of success or failure, philosophy instead reconfigures the judging process, lending legitimacy to theidea that themainstream value system may unfairly consign some people to disgrace and others to respectability.	philosophy
125	The truth is, going against the internal stream of ignorance is way more rebellious than trying to start some sort of cultural revolution.	philosophy
126	You know, sometimes I think this is just not it,” he said, his glasses flashing from the early night’s light.  He turned toward me in a thoughtful pause. “You know what I mean, Tom?” he asked. “It’s just not.	philosophy
127	When they have discovered truth in nature they fling it into a book, where it is even worse hands.	philosophy
128	Was she on some sort of Candid Camera version of This is Your Sucky Love Life?	sarcasm
129	It is foolish and wrong to mourn the men who died. Rather, we should thank God that such men lived.	philosophy
130	I had a second friend come over to my house, and do you know what I called her? A refill. If relationships aren’t drinkable, why do we thirst for them so much?	philosophy
131	What is this slow blue dream of living,  and this fevered death by dreaming?	philosophy
132	Contented poverty is an honorable estate.	philosophy
133	The certainty about the uncertain (in view to life) is that it will remain uncertain till the time its certain.	philosophy
134	It is better to doubt that a concept is stupidly flying under your head than profoundly flying over your head.	sarcasm
135	The necessity of reform mustn’t be allowed to become a form of blackmail serving to limit, reduce, or halt the exercise of criticism. Under no circumstances should one pay attention to those who tell one: “Don’t criticize, since you’re not capable of carrying out a reform.” That’s ministerial cabinet talk. Critique doesn’t have to be the premise of a deduction that concludes, “this, then, is what needs to be done.” It should be an instrument for those for who fight, those who resist and refuse what is. Its use should be in processes of conflict and confrontation, essays in refusal. It doesn’t have to lay down the law for the law. It isn’t a stage in a programming. It is a challenge directed to what is.	philosophy
136	The man who has no tincture of philosophy goes through life imprisoned in the prejudices derived from common sense, from the habitual beliefs of his age or his nation, and from convictions which have grown up in his mind without the cooperation or consent of his deliberate reason.	philosophy
137	Perhaps not one religion contains all of the truth of the world. Perhaps every religion contains fragments of the truth, and it is our responsibility to identify those fragments and piece them together.	philosophy
138	Then why are you here?” Emma demanded. “Oh, is this one of those missed-connections things? We met the other night, you felt a spark? Sorry, but I don’t date trees.”  “I am not a tree.” Iarlath looked angry, his bark peeling slightly.	sarcasm
139	More powerful than the mighty armies is an idea whose time has come.	philosophy
140	Always blow your own trumpet, blowing someone else’s is unhygienic	philosophy
141	One can ask why the I has to appear in the cogito {Descartes’ argument “I think therefore I am.}, since the cogito, if used rightly, is the awareness of pure consciousness, not directed at any fact or action. In fact the I is not necessary here, since it is never united directly to consciousness. One can even imagine a pure and self-aware consciousness which thinks of itself as impersonal spontaneity.	philosophy
142	In football everything is complicated by the presence of the opposite team.	philosophy
143	Reason is, and ought only to be the slave of the passions.	philosophy
144	Call no man happy until he is dead.	philosophy
145	Sarcasm creates a chasm between yourself and others.	sarcasm
146	Prayer is based on the remote possibility that someone is actually listening; but so is a lot of conversation. If the former seems far-fetched, consider the latter: even if someone is listening to your story, and really hearing, that person will disappear from existence in the blink of a cosmic eye, so why bother to tell this perhaps illusory and possibly un-listening person something he or she is unlikely to truly understand, just before the two of you blip back out of existence? We like to talk to people who answer us, intelligently if possible, but we do talk without needing response or expecting comprehension. Sometimes, the event is the word, the act of speaking. Once we pull that apart a bit, the action of talking becomes more important than the question of whether the talking is working-because we know, going in, that the talking is not working. That said, one might as well pray.	philosophy
147	You are what you do. If you do boring, stupid monotonous work, chances are you'll end up boring, stupid and monotonous. Work is a much better explanation for the creeping cretinization all around us than even such significant moronizing mechanisms as television and education.	philosophy
148	Hatred is a form of faith, distilled by passion to remove all rationality.	philosophy
149	Just three words? Nothing about his physical health? His equipment? His supplies?'  'You got me,' she said. 'He left a detailed status report. I just decided to lie for no reason.'  'Funny,' Venkat said. 'Be a smart-ass to a guy seven levels above you at your company. See how that works out.'  'Oh no,' Mindy said. 'I might lose my job as an interplanetary voyeur? I guess I'd have to use my master's degree for something else.'  'I remember when you were shy.'  'I'm space paparazzi now. The attitude comes with the job.	sarcasm
150	Philosophy without action is the ruin of the soul. One brave deed is worth a hundred books, a thousand theories, a million words. Now as always we need heroes. And heroines! Down with the passive and the limp.	philosophy
151	Happiness consists in frequent repetition of pleasure	philosophy
152	No society can prosper if it aims at making things easier-instead it should aim at making people stronger!!	philosophy
153	We sinned for no reason but an incomprehensible lack of love, and He saved us for no reason but an incomprehensible excess of love.	philosophy
154	they Whatever can make life truly happy is absolutely good in its own right because it cannot be warped into evil From whence then comes error In that while all men wish for a happy life they mistake the means for the thing itself and while they fancy themselves in pursuit of it they are flying from it for when the sum of happiness consists in solid tranquillity and an unembarrassed confidence therein they are ever collecting causes of disquiet and not only carry burthens but drag them painfully along through the rugged and deceitful path of life so that they still withdraw themselves from the good effect proposed the more pains they take the more business they have upon their hands instead of advancing they are retrograde and as it happens in a labyrinth their very speed puzzles and confounds them	philosophy
155	Man in general, if reduced to himself, is too wicked to be free.	philosophy
156	As a man, casting off worn out garments taketh new ones, so the dweller in the body, entereth into ones that are new.	philosophy
157	Pride makes us artificial; humility makes us real	philosophy
158	I want to find a way of speaking to fellow human beings that will be cool rather than heated, philosophical rather than polemical, that will bring enlightenment rather than seeking to divide us into the righteous and the sinners, the saved and the damned, the sheep and the goats.	philosophy
159	Every passion borders on the chaotic, but the collector's passion borders on the chaos of memories.	philosophy
160	The Study of philosophy is not that we may know what men have thought, but what the truth of things is.	philosophy
161	To be prepared against surprise is to be trained. To be prepared for surprise is to be educated.	philosophy
162	Among peoples who possess a highly developed pugnacious instinct we find the greatest progress in the arts, sciences, social and political organization, commerce and industry. The instinct takes the milder form of rivalry which is the motive force of the great portion of the serious labors of mankind.	philosophy
163	After some cogitation, it is difficult not to agree with Herman Bondi (1919 - 2005), who in his book 'Relativity and Common Sense' says: ... The surprising thing, surely, is that molecules in a gas behave so much as billiard balls, not that electrons behave so little like billiard balls.	philosophy
164	we deceive ourselves in thinking that death only follows life whereas it both goes before and will follow after it for where is the difference in not beginning or ceasing to exist the effect of both is not to be	philosophy
165	Since we nowadays think that all a man needs for acquisition of truth is to exert his brain more or less vigorously, and since we consider an <em>ascetic</em> approach to knowledge hardly sensible, we have lost the awareness of the close bond that links the knowing of truth to the condition of purity. Thomas says that unchastity's first-born daughter is blindness of the spirit. Only he who wants nothing for himself, who not subjectively 'interested,' can know the truth. On the other hand, an impure, selfishly corrupted will-to-pleasure destroys both resoluteness of spirit and the ability of the psyche to listen in silent attention to the language of reality.	philosophy
166	Do not trouble about those who practice philosophy, whether they are good or bad; but examine the thing itself well and carefully. And if philosophy appears a bad thing to you, turn every man from it, not only your sons; but if it appears to you such as I think it to be, take courage, pursue it, and practice it, as the saying is, 'both you and your house.	philosophy
167	When you use your energy and resources to punish people, you run out of energy and resources to protect people.	philosophy
168	Since I've moved here, you have shown up at my door eight times. I obey the laws, I pay my taxes, and I haven't even gotten a parking ticket in my entire time as a driver. Yet if anything at all happens in the neighborhood, you appear at my door. I bet if a meteorite fell somewhere in the subdivision, you would be here asking me if I personally launched it out of my doomsday cannon.	sarcasm
169	Love vs. Honeymoon [10w]  Love is what truly begins when the honeymoon is over.	philosophy
170	Abby wouldn't want you to suffer because of some jerk that kidnapped her. She would want you to go on your trip so that she would have fun torturing you for not being a puddle on the ground with a box of tissues and an empty gallon of ice cream by your side. Then afterwards to hit you for thinking she was seriously hoping you would be doing that.	sarcasm
171	Sometimes we know people who are too wonderful for words. I am not one of them. Or you, for that matter, as you well know.	sarcasm
172	No man was ever wise by chance	philosophy
173	The best reaction to a paradox is to invent a genuinely new and deep idea.	philosophy
174	The more invested I am in my own ideas about reality, the more those experiences will feel like victimizations rather than the ups and downs of relating. Actually, I believe that the less I conceptualize things that way, the more likely it is that people will want to stay by me, because they will not feel burdened, consciously or unconsciously, by my projections, judgments, entitlements, or unrealistic expectations.	philosophy
175	The Poet's Disease  My body atrophies. My mind swells. Imagination's become my crutch.	philosophy
176	Everyone is the other and no one is himself.	philosophy
177	Maybe I’m strange and perverse, but I’ve always thought there was something sexy about a compelling argument.	philosophy
178	The life I've lived What more can one ask for Apart from a grand exit Slit of the wrist Total bliss	sarcasm
